Date,Mining,Construction,Durable_goods,Non_durable_goods,Retail,Transportation,Information,Financial_activities,Professional_and_business_activities,Education_and_health,Leisure_and_hospitality
2018-01,,,,,,,,,,,
2018-02,0.013119533527696792,0.0164957646009809,0.004616568350859218,0.0036402569593148026,-0.009008435865789588,-0.0024652027155156464,0.012626262626262541,0.0033143939393940336,0.00659189295552931,0.015389906284928312,0.009781693334196984
2018-03,0.012949640287769792,0.013596491228070162,0.004595353586928752,0.00021335609131645228,0.002169865827823081,0.005550908676146493,0.0024937655860348684,0.0017697026899481383,0.0050825921219821435,0.0015241320914478607,0.014754939697202873
2018-04,0.011363636363636465,0.028270589932208212,0.0021601016518424387,0.001066552901023865,0.0037217823558048924,0.002249697519661087,0.004264392324093924,0.0012954893416559088,0.012107361664883687,0.001775448089279763,0.018965735238336112
2018-05,0.014044943820224809,0.02903633048113341,0.0035501458095601457,0.00596633283613901,0.006618205489855811,0.010317834575120255,0.002123142250530785,0.005880969183721385,0.0047561854431898976,-0.0028694404591105283,0.025189229432932114
2018-06,0.01939058171745156,0.021946564885496178,0.010991787744788484,0.01080279601779277,0.0022253781874896905,0.006683843023038705,0.008121468926553632,0.010991580916744681,0.008558860093717202,-0.009056284384257318,0.029351246671508013
2018-07,0.005434782608695565,0.0076030412164866945,-0.0018745313671582053,0.0046102263202012495,-0.0002340631464413656,-0.0071216617210682065,0.0021015761821365775,0.0033541522091140585,-0.0003318636514483275,-0.004868466006149652,0.005761655594097137
2018-08,0.014864864864864824,0.004236166269526054,0.0020032552898459066,0.0008343763037130802,-0.0020184763351049906,0.00730349671249253,0.001747640685075158,-0.00011527377521614035,0.0029877643934363984,0.004420221440219807,-0.004793359443502676
2018-09,-0.0066577896138482195,-0.00672291062483521,-0.0017493439960014623,-0.002917882451021314,-0.010493212698372445,0.019174068648358134,-0.011514305652477352,-0.004726769656444585,-0.0016076410232161997,0.010467848750266961,-0.033069016152716624
2018-10,0.00536193029490617,0.0029197080291971655,0.0017524095631493708,-0.0033444816053511683,0.006548511527174394,0.010698495296664667,0.009177550300035309,0.002895864705200868,0.008950982713710642,0.013234672304439643,-0.009658607702587751
2018-11,-0.01200000000000001,-0.013629747254201408,0.00199925028114456,-0.0014681208053691774,0.030696170299449932,0.021134493870276883,0.006295907660021083,-0.00034650034650030026,0.0015959444235824627,0.002629053123565539,-0.014414524934061257
2018-12,0.0013495276653170407,-0.019184330560772733,0.003491707195410809,0.001260239445494582,0.00037057624606262607,0.017982123653544457,-0.00382342718109141,0.0021952628538417507,-0.005201987065329483,-0.00016648630650129004,0.0011202389843165683
2019-01,-0.0121293800539084,-0.03310080700314599,-0.002982477942090167,-0.011118103629116804,-0.03512378835586838,-0.033198829295325805,-0.02337752965806006,-0.006456075628314517,-0.024402883120554053,-0.012405295146116102,-0.021571552903145608
2019-02,-0.004092769440654842,-0.0009902390720045728,0.0014956998628941065,0.002757742893508608,-0.012714277487346548,-0.01101637229964536,0.011075384065737826,0.0017405430494314977,0.006374040272345338,0.013488450514247186,0.006480716691022348
2019-03,0.00136986301369868,0.015293118096856517,0.0004978220286246948,0.0016924053310767295,-0.0002333208031420897,0.0007607179728676972,0.002826855123674976,0.002895864705200868,0.0032148169473633637,0.002869738812177669,0.015718704627233127
